"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
4.9,0,-180,2.65948957301578
4.9,0,-179,2.52850097729715
4.9,0,-178,2.39063624342762
4.9,0,-177,2.24582016614024
4.9,0,-176,2.09397546754976
4.9,0,-175,1.93502260992386
4.9,0,-174,1.76887958180325
4.9,0,-173,1.59546165553135
4.9,0,-172,1.41468111404067
4.9,0,-171,1.22644694449677
4.9,0,-170,1.03066449611319
4.9,0,-169,0.827235099118067
4.9,0,-168,0.616055641465603
4.9,0,-167,0.397018099434235
4.9,0,-166,0.170009017726821
4.9,0,-165,-0.0650910659276556
4.9,0,-164,-0.308408257392032
4.9,0,-163,-0.560076010526972
4.9,0,-162,-0.820235906949042
4.9,0,-161,-1.08903851988078
4.9,0,-160,-1.36664437222282
4.9,0,-159,-1.65322500062767
4.9,0,-158,-1.94896413931758
4.9,0,-157,-2.25405903973132
4.9,0,-156,-2.56872194489155
4.9,0,-155,-2.89318174075652
4.9,0,-154,-3.22768581089041
4.9,0,-153,-3.57250212571664
4.9,0,-152,-3.92792160361754
4.9,0,-151,-4.29426078847573
4.9,0,-150,-4.67186489725726
4.9,0,-149,-5.06111130235307
4.9,0,-148,-5.46241352719264
4.9,0,-147,-5.87622585087011
4.9,0,-146,-6.30304863916056
4.9,0,-145,-6.7434345466634
4.9,0,-144,-7.197995769643
4.9,0,-143,-7.66741257381579
4.9,0,-142,-8.1524433790947
4.9,0,-141,-8.65393675860382
4.9,0,-140,-9.1728458083346
4.9,0,-139,-9.71024547537216
4.9,0,-138,-10.267353609154
4.9,0,-137,-10.8455567397283
4.9,0,-136,-11.446441915813
4.9,0,-135,-12.0718363927496
4.9,0,-134,-12.7238576052743
4.9,0,-133,-13.4049767830735
4.9,0,-132,-14.118100910179
4.9,0,-131,-14.8666797187404
4.9,0,-130,-15.6548474127039
4.9,0,-129,-16.4876134539084
4.9,0,-128,-17.3711240683097
4.9,0,-127,-18.3130280040707
4.9,0,-126,-19.3229998721283
4.9,0,-125,-20.4135084422914
4.9,0,-124,-21.6009777509498
4.9,0,-123,-22.9075999805367
4.9,0,-122,-24.3642692762502
4.9,0,-121,-26.0155082194212
4.9,0,-120,-27.9279877814665
4.9,0,-119,-30.2050712802789
4.9,0,-118,-33.0057259117917
4.9,0,-117,-36.500766219935
4.9,0,-116,-40.0619750005129
4.9,0,-115,-39.9231292770324
4.9,0,-114,-36.7246643587482
4.9,0,-113,-33.849178241736
4.9,0,-112,-31.651323270781
4.9,0,-111,-29.947457785639
4.9,0,-110,-28.5875791752476
4.9,0,-109,-27.4748464554941
4.9,0,-108,-26.5463842201227
4.9,0,-107,-25.7598116829359
4.9,0,-106,-25.085416505632
4.9,0,-105,-24.5016138222268
4.9,0,-104,-23.9922261597129
4.9,0,-103,-23.5447924056506
4.9,0,-102,-23.1494785484836
4.9,0,-101,-22.7983532109417
4.9,0,-100,-22.4848919773805
4.9,0,-99,-22.2036297690963
4.9,0,-98,-21.9499117827488
4.9,0,-97,-21.7197117779132
4.9,0,-96,-21.5094975059443
4.9,0,-95,-21.3161298871608
4.9,0,-94,-21.1367868681157
4.9,0,-93,-20.9689056951373
4.9,0,-92,-20.8101391924682
4.9,0,-91,-20.6583228746993
4.9,0,-90,-20.5114505641793
4.9,0,-89,-20.3676567575769
4.9,0,-88,-20.225204377909
4.9,0,-87,-20.082476816568
4.9,0,-86,-19.9379733537151
4.9,0,-85,-19.7903071729222
4.9,0,-84,-19.6382052776534
4.9,0,-83,-19.4805096882405
4.9,0,-82,-19.316179359588
4.9,0,-81,-19.1442923197442
4.9,0,-80,-18.9640475926038
4.9,0,-79,-18.7747665366615
4.9,0,-78,-18.5758933059906
4.9,0,-77,-18.3669942177569
4.9,0,-76,-18.1477558896751
4.9,0,-75,-17.9179820873289
4.9,0,-74,-17.6775892917103
4.9,0,-73,-17.4266010586541
4.9,0,-72,-17.1651412919401
4.9,0,-71,-16.8934265895816
4.9,0,-70,-16.6117578481202
4.9,0,-69,-16.3205113233628
4.9,0,-68,-16.0201293492613
4.9,0,-67,-15.7111109112716
4.9,0,-66,-15.3940022583178
4.9,0,-65,-15.0693877201919
4.9,0,-64,-14.7378808763998
4.9,0,-63,-14.4001161994868
4.9,0,-62,-14.0567412718899
4.9,0,-61,-13.7084096513278
4.9,0,-60,-13.3557744364382
4.9,0,-59,-12.9994825624712
4.9,0,-58,-12.6401698368534
4.9,0,-57,-12.2784567067545
4.9,0,-56,-11.9149447356855
4.9,0,-55,-11.5502137537753
4.9,0,-54,-11.1848196367455
4.9,0,-53,-10.819292661636
4.9,0,-52,-10.4541363828572
4.9,0,-51,-10.089826969903
4.9,0,-50,-9.72681294775247
4.9,0,-49,-9.3655152822884
4.9,0,-48,-9.00632775563743
4.9,0,-47,-8.64961757986475
4.9,0,-46,-8.29572620164168
