"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
3.76,0,-180,1.99390702013719
3.76,0,-179,1.97092233618418
3.76,0,-178,1.94632955050123
3.76,0,-177,1.92019165824705
3.76,0,-176,1.89257523101988
3.76,0,-175,1.86355014227947
3.76,0,-174,1.83318927936453
3.76,0,-173,1.80156824384896
3.76,0,-172,1.76876504205856
3.76,0,-171,1.73485976763197
3.76,0,-170,1.69993427805407
3.76,0,-169,1.66407186711663
3.76,0,-168,1.62735693526936
3.76,0,-167,1.58987465981493
3.76,0,-166,1.55171066687414
3.76,0,-165,1.51295070700321
3.76,0,-164,1.47368033628489
3.76,0,-163,1.4339846046396
3.76,0,-162,1.3939477530142
3.76,0,-161,1.35365292100477
3.76,0,-160,1.31318186635841
3.76,0,-159,1.27261469767833
3.76,0,-158,1.23202962152927
3.76,0,-157,1.19150270500672
3.76,0,-156,1.15110765469659
3.76,0,-155,1.11091561281276
3.76,0,-154,1.0709949711597
3.76,0,-153,1.03141120342805
3.76,0,-152,0.99222671619353
3.76,0,-151,0.953500718855198
3.76,0,-150,0.91528911261847
3.76,0,-149,0.877644398503206
3.76,0,-148,0.840615604237315
3.76,0,-147,0.804248229783051
3.76,0,-146,0.768584211136748
3.76,0,-145,0.73366190194356
3.76,0,-144,0.69951607237722
3.76,0,-143,0.666177924651127
3.76,0,-142,0.633675124451355
3.76,0,-141,0.602031847514588
3.76,0,-140,0.571268840514476
3.76,0,-139,0.541403495368601
3.76,0,-138,0.51244993603492
3.76,0,-137,0.484419116831249
3.76,0,-136,0.457318931283841
3.76,0,-135,0.43115433049129
3.76,0,-134,0.405927449977565
3.76,0,-133,0.381637744002834
3.76,0,-132,0.358282126302484
3.76,0,-131,0.335855116233154
3.76,0,-130,0.314348989319395
3.76,0,-129,0.293753931215255
3.76,0,-128,0.274058194121512
3.76,0,-127,0.255248254730809
3.76,0,-126,0.237308972809412
3.76,0,-125,0.220223749565108
3.76,0,-124,0.203974684995491
3.76,0,-123,0.188542733459223
3.76,0,-122,0.173907856764137
3.76,0,-121,0.160049174119955
3.76,0,-120,0.146945108359424
3.76,0,-119,0.134573527889312
3.76,0,-118,0.122911883891497
3.76,0,-117,0.111937342353928
3.76,0,-116,0.101626910570888
3.76,0,-115,0.0919575578115336
3.76,0,-114,0.0829063299143944
3.76,0,-113,0.0744504576231686
3.76,0,-112,0.0665674585351846
3.76,0,-111,0.0592352325878851
