"Freq [GHz]","dB(St(Microstrip_T1,Microstrip_T1)) []"
1,-0.465686456695633
1.01,-0.488845408061243
1.02,-0.511945454378282
1.03,-0.534994220502787
1.04,-0.557999616064718
1.05,-0.580969835169676
1.06,-0.603913356272363
1.07,-0.626838942208068
1.08,-0.64975564036778
1.09,-0.672672783001991
1.1,-0.695599987637438
1.11,-0.718547157590523
1.12,-0.74152448256025
1.13,-0.764542439282848
1.14,-0.787611792229371
1.15,-0.810743594326802
1.16,-0.833949187682227
1.17,-0.857240204288779
1.18,-0.880628566691126
1.19,-0.904126488587264
1.2,-0.927746475342368
1.21,-0.951501324389554
1.22,-0.975404125491123
1.23,-0.999468260833103
1.24,-1.0237074049246
1.25,-1.0481355242724
1.26,-1.07276687680049
1.27,-1.09761601098264
1.28,-1.12269776465545
1.29,-1.14802726347834
1.3,-1.17361991900546
1.31,-1.19949142633415
1.32,-1.22565776129333
1.33,-1.25213517713439
1.34,-1.27894020068658
1.35,-1.30608962793794
1.36,-1.33360051900258
1.37,-1.36149019243449
1.38,-1.38977621884772
1.39,-1.41847641380282
1.4,-1.44760882991922
1.41,-1.47719174817357
1.42,-1.50724366834453
1.43,-1.53778329856484
1.44,-1.56882954394277
1.45,-1.60040149421587
1.46,-1.63251841040138
1.47,-1.66519971040953
1.48,-1.69846495358765
1.49,-1.7323338241657
1.5,-1.76682611357603
1.51,-1.80196170162356
1.52,-1.83776053648568
1.53,-1.87424261352499
1.54,-1.9114279529019
1.55,-1.94933657597889
1.56,-1.98798848051256
1.57,-2.02740361463515
1.58,-2.06760184963259
1.59,-2.10860295153195
1.6,-2.15042655151726
1.61,-2.19309211519957
1.62,-2.23661891077307
1.63,-2.28102597609701
1.64,-2.3263320847495
1.65,-2.37255571110721
1.66,-2.41971499451213
1.67,-2.46782770259425
1.68,-2.51691119382626
1.69,-2.56698237939441
1.7,-2.61805768447637
1.71,-2.67015300902471
1.72,-2.72328368816112
1.73,-2.77746445229356
1.74,-2.83270938707441
1.75,-2.88903189332383
1.76,-2.94644464704771
1.77,-3.0049595596842
1.78,-3.06458773871733
1.79,-3.12533944879917
1.8,-3.18722407352496
1.81,-3.25025007800746
1.82,-3.31442497239778
1.83,-3.37975527650025
1.84,-3.4462464856283
1.85,-3.51390303784658
1.86,-3.58272828274245
1.87,-3.65272445186659
1.88,-3.72389263097829
1.89,-3.79623273422638
1.9,-3.8697434803907
1.91,-3.9444223713031
1.92,-4.02026567255965
1.93,-4.09726839662818
1.94,-4.17542428844741
1.95,-4.25472581360512
1.96,-4.33516414917435
1.97,-4.41672917727716
1.98,-4.49940948143671
1.99,-4.58319234576877
2,-4.66806375705494
2.01,-4.75400840973033
2.02,-4.84100971381004
2.03,-4.92904980576977
2.04,-5.0181095623879
2.05,-5.10816861754818
2.06,-5.19920538199526
2.07,-5.29119706602756
2.08,-5.38411970510634
2.09,-5.47794818835304
2.1,-5.57265628990197
2.11,-5.66821670307031
2.12,-5.76460107730236
2.13,-5.86178005784123
2.14,-5.95972332807684
2.15,-6.05839965451563
2.16,-6.15777693431365
2.17,-6.25782224531145
2.18,-6.35850189850539
2.19,-6.45978149288697
2.2,-6.56162597257739
2.21,-6.66399968618076
2.22,-6.76686644827507
2.23,-6.87018960295472
2.24,-6.97393208933321
2.25,-7.07805650890842
2.26,-7.18252519468585
2.27,-7.2873002819483
2.28,-7.39234378055168
2.29,-7.49761764861805
2.3,-7.60308386748728
2.31,-7.70870451777845
2.32,-7.81444185640134
